# format of lines in this file:
# IE number, constant_name, length in bytes, coding type, table column name, description

176, IPFIX_FT_SOURCEPODNAMESPACE,        65535, IPFIX_CODING_STRING, "sourcePodNamespace", ""
177, IPFIX_FT_SOURCEPODNAME,             65535, IPFIX_CODING_STRING, "sourcePodName", ""
178, IPFIX_FT_DESTINATIONPODNAMESPACE,   65535, IPFIX_CODING_STRING, "destinationPodNamespace", ""
179, IPFIX_FT_DESTINATIONPODNAME,        65535, IPFIX_CODING_STRING, "destinationPodName", ""
180, IPFIX_FT_REVPACKETDELTACOUNT,       8,     IPFIX_CODING_UINT,   "reversePacketDeltaCount", ""
181, IPFIX_FT_REVBYTEDELTACOUNT,         8,     IPFIX_CODING_UINT,   "reverseByteDeltaCount", ""
182, IPFIX_FT_REVPACKETTOTALCOUNT,       8,     IPFIX_CODING_UINT,   "reversePacketTotalCount", ""
183, IPFIX_FT_REVBYTETOTALCOUNT,         8,     IPFIX_CODING_UINT,   "reverseByteTotalCount", ""
184, IPFIX_FT_SOURCENODENAME,            65535, IPFIX_CODING_STRING, "sourceNodeName", ""
185, IPFIX_FT_DESTINATIONNODENAME,       65535, IPFIX_CODING_STRING, "destinationNodeName", ""
